
"Nome do sistema","Modelo do sistema","Tempo de conexão do Agente","Tempo de desconexão do Agente","Última sincronização","Nome de SO","Versão","Total de Ram","RAM usada","Tamanho total de disco (G)","Endereço MAC"
"LN-CP-IDCOLLECTOR","VMware7,1","09-10-2024 10:08:30","","15-10-2024 13:36:10","Microsoft Windows Server 2019 Datacenter x64","10.0.17763","8192","2665.6","39.40","00:50:56:8B:67:6B"
"LN5D05","OptiPlex 3020","15-10-2024 07:45:03","15-10-2024 07:59:43","15-10-2024 07:45:59","Microsoft Windows 11 Pro x64","10.0.22631","8192","3111.5","220.80","F4:8E:38:E0:3D:32"
"LNALMOX03","OptiPlex 3020","14-10-2024 18:08:35","","15-10-2024 09:02:18","Microsoft Windows 11 Pro x64","10.0.22631","8192","2900.7","220.70","F4:8E:38:E0:3C:FD"
"LNALMOXNUTRI01","C610","15-10-2024 08:20:43","","15-10-2024 08:21:43","Microsoft Windows 11 Pro x64","10.0.22631","8192","1635.7","235.50","A8:5E:45:04:A1:8C"
"LNALMOXNUTRI02","C610","07-10-2024 07:59:31","","15-10-2024 11:10:54","Microsoft Windows 11 Pro x64","10.0.22631","8192","6432.1","235.50","A8:5E:45:04:A7:E8"
"LNAMB01","C610","15-10-2024 08:35:03","","15-10-2024 08:36:03","Microsoft Windows 11 Pro x64","10.0.22631","8192","1420.7","235.50","A8:5E:45:04:A1:66"
"LNAMB02","C610","15-10-2024 08:19:21","","15-10-2024 08:23:14","Microsoft Windows 11 Pro x64","10.0.22631","8192","1439.8","235.50","A8:5E:45:04:A7:A3"
"LNAMB03","11T4S5GD00","15-10-2024 08:28:33","","15-10-2024 08:32:24","Microsoft Windows 11 Pro x64","10.0.22621","8192","1947.2","235.50","D8:CB:8A:D5:6F:92"
"LNAMB04","C610","14-10-2024 11:21:46","14-10-2024 20:03:11","14-10-2024 14:17:26","Microsoft Windows 11 Pro x64","10.0.22631","8192","2396","235.50","A8:5E:45:04:A7:BB"
"LNAMBAM01","11T40031BO","15-10-2024 12:26:46","","15-10-2024 14:06:16","Microsoft Windows 11 Pro x64","10.0.22631","8192","6641","235.50","60:C7:27:05:47:CC"
"LNAMBAM02","11T40031BO","15-10-2024 13:49:58","","15-10-2024 08:20:21","Microsoft Windows 11 Pro x64","10.0.22631","8192","2077.2","235.50","60:C7:27:05:44:CE"
"LNAMBAM03","11T40031BO","15-10-2024 09:24:43","","15-10-2024 09:25:25","Microsoft Windows 11 Pro x64","10.0.22631","8192","2292.5","235.50","60:C7:27:05:47:C9"
"LNAMBAM04","11T40031BO","15-10-2024 07:47:04","","15-10-2024 13:48:09","Microsoft Windows 11 Pro x64","10.0.22631","8192","5966.6","235.50","60:C7:27:05:47:8F"
"LNAMBAM05","11T40031BO","15-10-2024 11:19:51","","15-10-2024 11:20:31","Microsoft Windows 11 Pro x64","10.0.22631","8192","1974.8","235.50","60:C7:27:05:47:C3"
"LNAMBLJ01","11T40031BO","11-10-2024 07:48:59","11-10-2024 20:03:06","11-10-2024 19:50:07","Microsoft Windows 11 Pro x64","10.0.22631","8192","4302","235.50","60:C7:27:05:46:D3"
"LNAMBLJ02","11T40031BO","15-10-2024 08:17:27","","15-10-2024 08:18:44","Microsoft Windows 11 Pro x64","10.0.22631","8192","2574","235.50","60:C7:27:05:47:25"
"LNAMBLJ03","11T40031BO","15-10-2024 08:09:08","","15-10-2024 14:10:56","Microsoft Windows 11 Pro x64","10.0.22631","8192","6324.9","235.50","60:C7:27:05:48:AA"
"LNAMBLJ04","11T40031BO","15-10-2024 09:59:17","","15-10-2024 10:00:19","Microsoft Windows 11 Pro x64","10.0.22631","8192","2047.8","235.50","60:C7:27:05:47:D5"
"LNAMBLJ05","11T40031BO","14-10-2024 08:03:18","14-10-2024 20:03:04","14-10-2024 18:17:44","Microsoft Windows 11 Pro x64","10.0.22631","8192","3038.4","235.50","60:C7:27:05:44:DD"
"LNAMBLJ06","11T40031BO","15-10-2024 08:51:07","","15-10-2024 08:51:51","Microsoft Windows 11 Pro x64","10.0.22631","8192","1950.7","235.50","60:C7:27:05:47:C5"
"LNAMBLJ07","11T40031BO","14-10-2024 11:02:43","14-10-2024 20:03:10","14-10-2024 14:17:27","Microsoft Windows 11 Pro x64","10.0.22631","8192","5257.1","235.50","60:C7:27:05:44:C2"
"LNAMBLJ08","11T40031BO","15-10-2024 12:58:10","","14-10-2024 18:17:44","Microsoft Windows 11 Pro x64","10.0.22631","8192","3101.5","235.50","60:C7:27:05:46:B7"
"LNAMBLJ09","11T40031BO","14-10-2024 08:18:46","14-10-2024 20:03:04","14-10-2024 18:17:44","Microsoft Windows 11 Pro x64","10.0.22631","8192","3382.7","235.50","60:C7:27:05:44:C7"
"LNAMBLJ10","11T40031BO","15-10-2024 08:30:19","","15-10-2024 08:31:24","Microsoft Windows 11 Pro x64","10.0.22631","8192","1870.3","235.50","60:C7:27:05:45:C1"
"LNAMBLJ11C01","11T4S5GD00","15-10-2024 08:26:19","15-10-2024 14:08:34","15-10-2024 08:27:37","Microsoft Windows 11 Pro x64","10.0.22631","8192","1909.5","235.50","D8:CB:8A:D5:3F:5F"
"LNAMBLJ11C02","11T4S5GD00","15-10-2024 08:07:07","","15-10-2024 14:07:56","Microsoft Windows 11 Pro x64","10.0.22621","8192","5828.8","235.50","D8:CB:8A:D5:6F:AC"
"LNAMBLJ12","11T40031BO","15-10-2024 09:06:34","","15-10-2024 09:09:24","Microsoft Windows 11 Pro x64","10.0.22631","8192","2646.5","235.50","60:C7:27:05:46:8A"
"LNAMBVD02","11T40031BO","15-10-2024 08:01:05","","15-10-2024 10:16:39","Microsoft Windows 11 Pro x64","10.0.22631","8192","3988.8","235.50","60:C7:27:05:47:99"
"LNAMBVD04","11T40031BO","15-10-2024 08:10:47","","15-10-2024 08:13:58","Microsoft Windows 11 Pro x64","10.0.22631","8192","1857.7","235.50","60:C7:27:05:44:D4"
"LNAMBVD06","11T40031BO","15-10-2024 09:46:32","","15-10-2024 09:47:08","Microsoft Windows 11 Pro x64","10.0.22631","8192","1912.8","235.50","60:C7:27:05:45:F1"
"LNAMBVD08","11T40031BO","15-10-2024 07:58:53","","15-10-2024 13:59:31","Microsoft Windows 11 Pro x64","10.0.22631","8192","2922.8","235.50","60:C7:27:05:44:C0"
"LNATIV01","HP ProDesk 400 G3 DM (Brazil)","14-10-2024 08:48:47","14-10-2024 17:13:10","14-10-2024 16:22:05","Microsoft Windows 11 Pro x64","10.0.22000","8192","4682.7","235.50","48:BA:4E:BC:7B:C4"
"LNATIV02","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 12:40:34","","15-10-2024 11:14:41","Microsoft Windows 11 Pro x64","10.0.22000","8192","3304.8","235.50","48:BA:4E:BC:6B:73"
"LNATIV03","11DUSGAP00","15-10-2024 10:12:37","","15-10-2024 10:13:43","Microsoft Windows 11 Pro x64","10.0.22000","8192","4883.3","235.50","64:1C:67:EC:CB:48"
"LNAUDITORIO01","C610","10-10-2024 13:02:22","10-10-2024 14:48:19","10-10-2024 14:17:06","Microsoft Windows 11 Pro x64","10.0.22631","8192","4006.8","235.50","A8:5E:45:04:A7:FC"
"LNAUDITORIO02","C610","10-10-2024 12:37:51","10-10-2024 14:06:08","10-10-2024 12:39:19","Microsoft Windows 11 Pro x64","10.0.22631","8192","4198.2","235.50","A8:5E:45:04:A7:45"
"LNAVD01","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 09:05:42","","15-10-2024 09:07:48","Microsoft Windows 11 Pro x64","10.0.22000","8192","2870.1","235.60","48:BA:4E:BC:7B:96"
"LNBIOENG01","HP Pro Mini 400 G9 Desktop PC","15-10-2024 08:05:12","","15-10-2024 13:50:20","Microsoft Windows 11 Pro x64","10.0.22631","8192","5603.6","235.50","5C:60:BA:B1:4F:97"
"LNBIOENG02","Precision 5820 Tower","14-10-2024 15:51:25","","15-10-2024 12:19:03","Microsoft Windows 11 Pro for Workstations x64","10.0.22631","65536","12230.1","943.80","74:86:E2:19:99:8A"
"LNBIOENG04","11DUSGAP00","15-10-2024 07:43:50","","15-10-2024 13:44:55","Microsoft Windows 11 Pro x64","10.0.22631","8192","4065.2","235.50","64:1C:67:EC:AC:2F"
"LNBIOENG06","11DUSGAP00","15-10-2024 08:12:44","","15-10-2024 08:13:23","Microsoft Windows 11 Pro x64","10.0.22631","8192","3870","235.50","64:1C:67:EC:9E:1E"
"LNBIOENG07","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 08:31:55","","15-10-2024 08:32:49","Microsoft Windows 11 Pro x64","10.0.22631","8192","2207.4","235.60","48:BA:4E:BC:29:8F"
"LNBIOENG09","Precision T3600","14-10-2024 13:43:50","","15-10-2024 12:19:24","Microsoft Windows 11 Pro x64","10.0.22631","16384","6957.3","943.80","78:2B:CB:C0:1D:89"
"LNBIOENG11","11T4S5GD00","15-10-2024 08:24:29","","15-10-2024 08:25:29","Microsoft Windows 11 Pro x64","10.0.22621","8192","2945.5","235.50","D8:CB:8A:D5:F0:62"
"LNBIOENG14","11T4S5GD00","15-10-2024 08:29:05","","15-10-2024 08:29:36","Microsoft Windows 11 Pro x64","10.0.22631","8192","1821.2","235.50","D8:CB:8A:D5:6F:8C"
"LNBIOENGNOTE01","Latitude 3540","14-10-2024 14:33:57","14-10-2024 23:55:43","14-10-2024 18:16:51","Microsoft Windows 11 Pro x64","10.0.22631","8192","4236.9","235.50","F0:20:FF:B4:DA:48"
"LNBITDEFENDER01","VMware Virtual Platform","05-10-2024 16:43:51","","15-10-2024 12:36:24","Microsoft Windows Server 2012 R2 Datacenter x64","6.3.9600","8192","2330.3","199.70","00:50:56:AA:D7:4C"
"LNBKP01","ThinkSystem SR650 -[7X06CTO1WW]-","02-10-2024 16:03:57","","15-10-2024 13:37:54","Microsoft Windows Server 2019 Standard x64","10.0.17763","262144","8829.7","445.50","38:68:DD:80:00:FB"
"LNBRIGADA01","OptiPlex 3020","15-10-2024 06:23:55","","15-10-2024 12:25:20","Microsoft Windows 11 Pro x64","10.0.22631","8192","3615.5","220.80","F4:8E:38:E0:47:6A"
"LNCAM01","ThinkSystem SR630 -[7X02CTO1WW]-","05-10-2024 16:42:59","","15-10-2024 13:55:48","Microsoft Windows Server 2019 Datacenter x64","10.0.17763","262144","11811.9","22443.10","00:50:56:8B:C0:A9"
"LNCAMTMP01","VMware20,1","11-10-2024 14:58:38","","15-10-2024 12:23:09","Microsoft Windows Server 2019 Datacenter x64","10.0.17763","262144","6657.6","30819.40","00:50:56:91:87:A4"
"LNCOLABORADOR01","11DUSGAP00","15-10-2024 09:24:48","15-10-2024 12:03:22","15-10-2024 07:31:14","Microsoft Windows 11 Pro x64","10.0.22631","8192","4433.9","235.50","64:1C:67:EC:CC:7F"
"LNCOLABORADOR02","11DUSGAP00","15-10-2024 08:02:37","","15-10-2024 14:04:06","Microsoft Windows 11 Pro x64","10.0.22631","8192","5423.7","235.50","64:1C:67:EC:CC:B3"
"LNCOLETA01","11T4S5GD00","07-10-2024 17:45:29","07-10-2024 20:03:04","07-10-2024 17:38:44","Microsoft Windows 11 Pro x64","10.0.22621","8192","5369","235.50","D8:CB:8A:D5:6F:D1"
"LNCOORDENACAO01","11T40031BO","10-10-2024 06:36:48","","15-10-2024 11:55:41","Microsoft Windows 11 Pro x64","10.0.22631","8192","3856","235.50","60:C7:27:05:45:3A"
"LNCOORDENACAO02","11DUSGAP00","10-09-2024 10:49:35","21-09-2024 08:17:34","21-09-2024 04:05:23","Microsoft Windows 11 Pro x64","10.0.22631","8192","4068","235.50","64:1C:67:EC:AC:32"
"LNCOORDENACAO03","11DUSGAP00","10-10-2024 06:37:18","","15-10-2024 11:01:27","Microsoft Windows 11 Pro x64","10.0.22631","8192","3804","235.50","64:1C:67:EC:CC:BA"
"LNCOORDENACAO04","11T4S5GD00","10-10-2024 06:35:06","","15-10-2024 08:59:39","Microsoft Windows 11 Pro x64","10.0.22631","8192","4034.5","235.50","D8:CB:8A:D5:EB:7A"
"LNCOORDENF01","C610","15-10-2024 08:00:10","","15-10-2024 14:01:40","Microsoft Windows 11 Pro x64","10.0.22631","8192","5821.9","235.50","A8:5E:45:04:A7:BC"
"LNCOSTURARIA01","HP ProDesk 400 G3 DM (Brazil)","14-10-2024 08:30:32","14-10-2024 16:57:21","14-10-2024 12:19:11","Microsoft Windows 11 Pro x64","10.0.22631","8192","4386.5","235.60","48:BA:4E:BC:6B:13"
"LNCOSTURARIA02","C610","15-10-2024 13:06:15","","15-10-2024 13:08:29","Microsoft Windows 11 Pro x64","10.0.22631","8192","1480","235.50","A8:5E:45:04:A1:CB"
"LNCOORDENACAO03","11DUSGAP00","10-10-2024 06:37:18","","15-10-2024 11:01:27","Microsoft Windows 11 Pro x64","10.0.22631","8192","3804","235.50","64:1C:67:EC:CC:BA"
"LNDC01","VMware7,1","09-10-2024 10:22:27","","15-10-2024 13:24:24","Microsoft Windows Server 2019 Datacenter x64","10.0.17763","16384","4301.8","99.40","00:50:56:8B:15:67"
"LNDC02","VMware7,1","09-10-2024 10:28:50","","15-10-2024 11:17:04","Microsoft Windows Server 2019 Datacenter x64","10.0.17763","16384","4287.4","99.40","00:50:56:8B:EF:9C"
"LNDR01","11T40031BO","15-10-2024 09:13:59","","15-10-2024 09:15:17","Microsoft Windows 11 Pro x64","10.0.22631","8192","2354.3","235.50","60:C7:27:05:44:D3"
"LNDR02","11T40031BO","10-10-2024 06:49:43","","15-10-2024 11:41:04","Microsoft Windows 11 Pro x64","10.0.22631","8192","5832.5","235.50","60:C7:27:05:44:D6"
"LNDR03","C610","07-10-2024 17:26:04","07-10-2024 20:03:04","07-10-2024 17:12:30","Microsoft Windows 11 Pro x64","10.0.22631","8192","1561.6","235.50","A8:5E:45:04:A7:CA"
"LNDR04","HP Pro Mini 400 G9 Desktop PC","10-09-2024 18:05:45","10-09-2024 20:03:26","10-09-2024 18:24:16","Microsoft Windows 11 Pro x64","10.0.22631","8192","3060.2","235.50","5C:60:BA:B1:4F:58"
"LNELO01","HP ProDesk 400 G3 DM (Brazil)","01-10-2024 15:02:48","01-10-2024 20:03:05","01-10-2024 15:03:25","Microsoft Windows 11 Pro x64","10.0.22000","8192","1754.2","235.60","48:BA:4E:BC:7B:9F"
"LNFMRI01","11T4S5GD00","13-09-2024 14:58:00","16-09-2024 14:07:37","16-09-2024 11:31:43","Microsoft Windows 10 Pro x64","10.0.19045","8192","2606.6","235.50","D8:CB:8A:D5:50:25"
"LNG01C01","HP ProDesk 400 G3 DM (Brazil)","15-10-2024 08:08:46","","15-10-2024 14:10:42","Microsoft Windows 11 Pro x64","10.0.22000","8192","4568.7","235.60","48:BA:4E:BC:6B:B3"
"LNG01C02","C610","15-10-2024 07:51:43","","15-10-2024 13:52:29","Microsoft Windows 11 Pro x64","10.0.22631","8192","5026.3","235.50","A8:5E:45:04:A7:B2"
"LNG01C03","C610","15-10-2024 07:54:56","","15-10-2024 13:56:22","Microsoft Windows 11 Pro x64","10.0.22631","8192","6668.1","235.50","A8:5E:45:04:A1:AD"
"LNG01C04","C610","15-10-2024 07:51:01","","15-10-2024 13:52:02","Microsoft Windows 11 Pro x64","10.0.22631","8192","5073.6","235.50","A8:5E:45:04:A1:C1"
"LNG02C01","HP ProDesk 400 G6 Desktop Mini PC","15-10-2024 10:49:50","","15-10-2024 10:51:45","Microsoft Windows 11 Pro x64","10.0.22621","8192","2180.1","235.50","30:24:A9:FC:41:AA"
