Nome,Possui AD,Possui Bitdefender,Possui DHCP,Possui Kace
"LNIMP01",Sim,Sim,Não,Sim
"LNVINTRANET02",Sim,Sim,Não,Sim
"LNCAMTMP01",Sim,Sim,Sim,Sim
"LN-CP-IDCOLLECTOR",Sim,Sim,Não,Sim
"LNBITDEFENDER01",Sim,Sim,Não,Sim
"LNSERVICOS01",Sim,Sim,Não,Não
"LNVSETOR02",Sim,Sim,Não,Sim
"LNWDS01",Sim,Sim,Não,Sim
"LNGERENCIA01",Sim,Sim,Não,Sim
"LNCAM01",Sim,Sim,Não,Sim
"LNVSETOR01",Sim,Sim,Não,Não
"LNBKP01",Sim,Sim,Não,Sim
"LNVSETOR03",Sim,Sim,Não,Sim
"LNSIHSRV01",Sim,Sim,Não,Sim
"LNCOORDENACAO03",Sim,Sim,Sim,Sim
"LNCOORDENACAO02",Sim,Sim,Não,Sim
"LNCOORDENACAO04",Sim,Sim,Sim,Sim
"LNPRES01",Sim,Sim,Não,Sim
"LNCOORDENACAO01",Sim,Sim,Sim,Sim
"LNINF06",Sim,Não,Não,Sim
"LNFMRI01",Sim,Não,Não,Sim
"LNALMOXNUTRI02",Sim,Sim,Sim,Sim
"LNSEG02",Sim,Sim,Sim,Sim
"LNSEG01",Sim,Sim,Sim,Sim
"LNAUDITORIO01",Sim,Sim,Não,Sim
"LNINFTMP01",Sim,Sim,Sim,Sim
"LNG10C02",Sim,Sim,Sim,Sim
"LNBIOENG03",Sim,Sim,Sim,Não
"LNINF07",Sim,Sim,Não,Sim
"LNNUTRICAO02",Sim,Sim,Sim,Sim
"LNINFDEBUG",Sim,Sim,Sim,Sim
"LNSEGCAM02",Sim,Sim,Sim,Sim
"LNINF01",Sim,Sim,Sim,Sim
"LNMANUT01",Sim,Sim,Sim,Sim
"LNSEG03",Sim,Sim,Sim,Sim
"LNBIOENG02",Sim,Sim,Sim,Sim
"LNAUDITORIO02",Sim,Sim,Não,Sim
"LNSEGCAM01",Sim,Sim,Sim,Sim
