Nome,Possui AD,Possui Bitdefender,Possui DHCP,Possui Kace
"LNIMP01",Sim,Sim,Não,Sim
"LNVINTRANET02",Sim,Sim,Não,Sim
"LN-CP-IDCOLLECTOR",Sim,Sim,Não,Sim
"LNBITDEFENDER01",Sim,Sim,Não,Sim
"LNSERVICOS01",Sim,Sim,Não,Não
"LNVSETOR02",Sim,Sim,Não,Sim
"LNWDS01",Sim,Sim,Não,Sim
"LNGERENCIA01",Sim,Sim,Não,Sim
"LNCAM01",Sim,Sim,Não,Sim
"LNVSETOR01",Sim,Sim,Não,Não
"LNBKP01",Sim,Sim,Não,Sim
"LNVSETOR03",Sim,Sim,Não,Sim
"LNSIHSRV01",Sim,Sim,Não,Sim
"LNCOORDENACAO02",Sim,Sim,Não,Sim
"LNPRES01",Sim,Sim,Não,Sim
"LNINF06",Sim,Não,Não,Sim
"LNFMRI01",Sim,Não,Não,Sim
"LNAUDITORIO01",Sim,Sim,Não,Sim
"LNBIOENG03",Sim,Sim,Sim,Não
"LNINF07",Sim,Sim,Não,Sim
"LNAUDITORIO02",Sim,Sim,Não,Sim
"LNINFNOTE01",Sim,Sim,Sim,Não
"LNLABMOV05",Sim,Sim,Não,Sim
"LNCENOGRAFICA01",Sim,Sim,Não,Não
"LNCOLETA01",Sim,Sim,Não,Sim
"LNRADSL02",Sim,Sim,Não,Sim
"LNSECRETARIA02",Sim,Sim,Não,Sim
"LNDR04",Sim,Sim,Não,Sim
"LNRADSL03",Sim,Sim,Não,Sim
"LNG10C01",Sim,Não,Não,Não
"LNRISL04C01",Sim,Não,Não,Não
"LNNUTRICAO05",Sim,Sim,Não,Não
"LNELO01",Sim,Sim,Não,Sim
"LNAMBVD02",Sim,Sim,Não,Sim
"LNG04C08",Sim,Sim,Não,Sim
"LNSEC03",Sim,Sim,Não,Sim
"LNDR03",Sim,Sim,Não,Sim
"LNINFNOTE02",Sim,Não,Não,Não
"LNCHAMADA00",Sim,Não,Não,Não
"BSBDENSITOMETRO",Sim,Sim,Não,Não
