Client IP Address	Name	Lease Expiration	Type	Unique ID	Description	Network Access Protection	Probation Expiration	Filter Profile	Policy
10.1.83.10	LNRISL05C02.sarah.br	17/10/2024 09:05:49	DHCP	a85e4504a1ae		Full Access	N/A	None	
10.1.83.11	LNINF00.sarah.br	18/10/2024 13:17:31	DHCP	fc15b4d9bbd1		Full Access	N/A	None	
10.1.83.12	LNG03C03.sarah.br	17/10/2024 09:02:48	DHCP	48ba4ebc8d71		Full Access	N/A	None	
10.1.83.13	LNBIOENG04.sarah.br	17/10/2024 09:05:12	DHCP	641c67ecac2f		Full Access	N/A	None	
10.1.83.14	LNG02C07.sarah.br	17/10/2024 13:05:30	DHCP	48ba4ebc2944		Full Access	N/A	None	
10.1.83.11	LNINF00.sarah.br	18/10/2024 13:17:31	DHCP	fc15b4d9bbd1		Full Access	N/A	None	
10.1.83.15	SEPF01D2D59BDFF.sarah.br	17/10/2024 20:36:22	DHCP	f01d2d59bdff		Full Access	N/A	None	
10.1.83.16	S21-Ultra-de-Eduardo.sarah.br	Reservation (active)	DHCP	28c21f8128ea		Full Access	N/A	None	
10.1.83.17	LNG04C05.sarah.br	15/10/2024 07:55:40	DHCP	60c7270545c8		Full Access	N/A	None	
10.1.83.18	LNG04BOX01.sarah.br	17/10/2024 11:54:45	DHCP	a85e4504a79b		Full Access	N/A	None	
10.1.83.19	LNRAD11.sarah.br	18/10/2024 11:59:26	DHCP	5c60bab1efa8		Full Access	N/A	None	
10.1.83.21		17/10/2024 18:17:54	DHCP	bcb8639f0fae		Full Access	N/A	None	
10.1.83.22	LNBIOENGNOTE01.sarah.br	18/10/2024 15:04:00	DHCP	f020ffb4da48		Full Access	N/A	None	
10.1.83.23	LNSESMT01.sarah.br	17/10/2024 09:21:05	DHCP	d8cb8ad56f8f		Full Access	N/A	None	
10.1.83.25	SpeedwayR-10-CF-E2.sarah.br	Reservation (active)	DHCP	00162510cfe2	Tablet Maquina de Lavar LN	Full Access	N/A	None	
10.1.83.26	LNCOLABORADOR01.sarah.br	18/10/2024 14:38:15	DHCP	641c67eccc7f		Full Access	N/A	None	
10.1.83.27	LNALMOX03.sarah.br	16/10/2024 18:22:50	DHCP	f48e38e03cfd		Full Access	N/A	None	
10.1.83.28	LNNEUROPSIC07.sarah.br	16/10/2024 14:03:52	DHCP	48ba4ebc292d		Full Access	N/A	None	
10.1.83.29	dash.sarah.br	14/10/2024 19:12:53	DHCP	a85e4504a7e6		Full Access	N/A	None	
10.1.83.30	LNLABMOV11.sarah.br	17/10/2024 08:33:45	DHCP	d8cb8ad56f99		Full Access	N/A	None	
10.1.83.31	LNPISCINAS02.sarah.br	17/10/2024 21:16:27	DHCP	a85e4504a7c9		Full Access	N/A	None	
10.1.83.32	LNG08C07.sarah.br	17/10/2024 08:39:25	DHCP	a85e4504a7e9		Full Access	N/A	None	
10.1.83.33	android-8389623bbef38800.sarah.br	18/10/2024 15:18:27	DHCP	78b8d6334490		Full Access	N/A	None	
10.1.83.34	LNSEG02.sarah.br	18/10/2024 05:32:22	DHCP	5c60bab14fb6		Full Access	N/A	None	
10.1.83.35	LNNAUTICA01.sarah.br	17/10/2024 07:54:50	DHCP	48ba4ebc19fa		Full Access	N/A	None	
10.1.83.36	LNALMOXNUTRI01.sarah.br	17/10/2024 08:39:53	DHCP	a85e4504a18c		Full Access	N/A	None	
